"","abbreviation","location","location_name","population"
"1","US","US","US",328728466
"2","AL","01","Alabama",4903185
"3","AK","02","Alaska",731545
"4","AZ","04","Arizona",7278717
"5","AR","05","Arkansas",3017804
"6","CA","06","California",39512223
"7","CO","08","Colorado",5758736
"8","CT","09","Connecticut",3565287
"9","DE","10","Delaware",973764
"10","DC","11","District of Columbia",705749
"11","FL","12","Florida",21477737
"12","GA","13","Georgia",10617423
"13","HI","15","Hawaii",1415872
"14","ID","16","Idaho",1787065
"15","IL","17","Illinois",12671821
"16","IN","18","Indiana",6732219
"17","IA","19","Iowa",3155070
"18","KS","20","Kansas",2913314
"19","KY","21","Kentucky",4467673
"20","LA","22","Louisiana",4648794
"21","ME","23","Maine",1344212
"22","MD","24","Maryland",6045680
"23","MA","25","Massachusetts",6892503
"24","MI","26","Michigan",9986857
"25","MN","27","Minnesota",5639632
"26","MS","28","Mississippi",2976149
"27","MO","29","Missouri",6626371
"28","MT","30","Montana",1068778
"29","NE","31","Nebraska",1934408
"30","NV","32","Nevada",3080156
"31","NH","33","New Hampshire",1359711
"32","NJ","34","New Jersey",8882190
"33","NM","35","New Mexico",2096829
"34","NY","36","New York",19453561
"35","NC","37","North Carolina",10488084
"36","ND","38","North Dakota",762062
"37","OH","39","Ohio",11689100
"38","OK","40","Oklahoma",3956971
"39","OR","41","Oregon",4217737
"40","PA","42","Pennsylvania",12801989
"41","RI","44","Rhode Island",1059361
"42","SC","45","South Carolina",5148714
"43","SD","46","South Dakota",884659
"44","TN","47","Tennessee",6829174
"45","TX","48","Texas",28995881
"46","UT","49","Utah",3205958
"47","VT","50","Vermont",623989
"48","VA","51","Virginia",8535519
"49","WA","53","Washington",7614893
"50","WV","54","West Virginia",1792147
"51","WI","55","Wisconsin",5822434
"52","WY","56","Wyoming",578759
"53","AS","60","American Samoa",55641
"54","GU","66","Guam",164229
"55","MP","69","Northern Mariana Islands",55144
"56","PR","72","Puerto Rico",3754939
"57","UM","74","U.S. Minor Outlying Islands",NA
"58","VI","78","Virgin Islands",107268
